,predictions
555,"(212, 608)"
556,"(212, 607)"
557,"(213, 607)"
558,"(215, 607)"
559,"(223, 603)"
560,"(230, 599)"
561,"(235, 595)"
562,"(239, 591)"
563,"(243, 588)"
564,"(247, 586)"
565,"(251, 585)"
566,"(253, 584)"
567,"(255, 583)"
568,"(259, 582)"
569,"(262, 581)"
570,"(265, 581)"
571,"(269, 581)"
572,"(271, 580)"
573,"(273, 579)"
574,"(276, 579)"
575,"(278, 579)"
576,"(280, 578)"
577,"(282, 578)"
578,"(284, 577)"
579,"(285, 576)"
580,"(287, 576)"
581,"(290, 576)"
582,"(292, 575)"
583,"(294, 575)"
584,"(297, 575)"
585,"(298, 574)"
586,"(299, 570)"
587,"(301, 567)"
588,"(305, 566)"
589,"(309, 565)"
590,"(312, 564)"
591,"(315, 563)"
592,"(320, 563)"
593,"(324, 563)"
594,"(327, 562)"
595,"(330, 561)"
596,"(333, 560)"
597,"(335, 559)"
598,"(338, 557)"
599,"(340, 556)"
600,"(343, 555)"
601,"(346, 555)"
602,"(349, 555)"
603,"(352, 557)"
604,"(354, 560)"
605,"(357, 561)"
606,"(361, 562)"
607,"(363, 562)"
608,"(366, 562)"
609,"(369, 563)"
610,"(372, 565)"
611,"(376, 566)"
612,"(379, 566)"
613,"(381, 567)"
614,"(383, 567)"
615,"(386, 568)"
616,"(388, 568)"
617,"(391, 568)"
618,"(392, 570)"
619,"(394, 571)"
620,"(397, 571)"
621,"(399, 571)"
622,"(401, 572)"
623,"(403, 572)"
624,"(404, 573)"
625,"(405, 576)"
626,"(405, 578)"
627,"(407, 580)"
628,"(409, 582)"
629,"(410, 583)"
630,"(411, 583)"
631,"(413, 584)"
632,"(415, 585)"
633,"(415, 586)"
634,"(417, 588)"
635,"(419, 588)"
636,"(420, 589)"
637,"(421, 590)"
638,"(423, 590)"
639,"(424, 591)"
640,"(425, 592)"
641,"(426, 593)"
642,"(426, 595)"
643,"(425, 597)"
644,"(424, 598)"
645,"(424, 600)"
646,"(425, 601)"
647,"(426, 601)"
648,"(427, 601)"
649,"(427, 600)"
650,"(428, 600)"
651,"(429, 600)"
652,"(432, 599)"
653,"(436, 598)"
654,"(439, 599)"
655,"(440, 600)"
656,"(443, 600)"
657,"(446, 598)"
658,"(450, 597)"
659,"(453, 597)"
660,"(456, 598)"
661,"(459, 599)"
662,"(462, 600)"
663,"(466, 598)"
664,"(469, 597)"
665,"(472, 595)"
666,"(475, 594)"
667,"(478, 595)"
668,"(481, 595)"
669,"(484, 594)"
670,"(486, 594)"
671,"(489, 594)"
672,"(493, 594)"
